,APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,Unnamed: 13,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
2229,16533614.0,2017-10-10,2018-10-26,12.0,,8090000.0,533940.0,8623940.0,0.01,6.0,6.0,1.0,8700000.0,,1.0,1.0,1.0,1438000.0,M,37.0,,9000000.0,0.0,700000.0,30000000.0,4000000.0,Married,High School,,Thạnh Hóa,Tỉnh Long An
1173,,,2018-10-26,12.0,,4490000.0,224500.0,4714500.0,,,8.0,0.0,5613000.0,,1.0,0.0,1.0,604000.0,M,21.0,,6000000.0,,800000.0,20000000.0,,Single,High School,Tỉnh Thái Bình,Thái Bình,Tỉnh Thái Bình
1832,16471917.0,2017-10-09,2018-10-26,12.0,FC CD NONKEY MAR SUB3.4-1495,6480000.0,,6907680.0,0.01,6.0,6.0,1.0,6984000.0,,1.0,1.0,1.0,1152000.0,,28.0,,9000000.0,0.0,1000000.0,30000000.0,5000000.0,Married,Middle School,Tỉnh Bình Thuận,,Tỉnh Bình Thuận
376,16817300.0,,2018-10-26,12.0,,17900000.0,895000.0,18795000.0,68.0,24.0,,1.0,17568000.0,,1.0,1.0,1.0,1452000.0,,32.0,,6000000.0,0.0,800000.0,21000000.0,5000000.0,Married,Basic School,Tỉnh Trà Vinh,Châu Thành,Tỉnh Trà Vinh
3853,16860663.0,2017-10-24,,12.0,FC UP DSA TS SCORE 2 NEW- 762,10000000.0,,10550000.0,45.0,13.0,12.0,1.0,12624000.0,,1.0,1.0,1.0,1040192.0,F,30.0,,3000000.0,0.0,7200000.0,25000000.0,3000000.0,Divorced,Middle School,Tỉnh An Giang,Châu Đốc,Tỉnh An Giang
3616,16979202.0,2017-10-30,2018-10-26,12.0,FC CD KEY DEALERS 1 - 811,3000000.0,150000.0,,,6.0,6.0,1.0,3654000.0,,1.0,1.0,1.0,597000.0,M,28.0,,6000000.0,0.0,1000000.0,12000000.0,4000000.0,Married,,Tỉnh Khánh Hòa,Ninh Hòa,Tỉnh Khánh Hòa
798,16617532.0,2017-10-14,,12.0,FC UP L.G 1 TSA SCORE NEW- 616,30000000.0,,31650000.0,33.5,24.0,12.0,1.0,22080000.0,,1.0,,1.0,1827160.0,M,33.0,,7000000.0,0.0,,15000000.0,5000000.0,,,Tỉnh Bình Dương,Thuận An,Tỉnh Bình Dương
378,16687091.0,2017-10-31,2018-10-26,12.0,FC CD UTILITY - 807,12000000.0,600000.0,12600000.0,60.0,8.0,4.0,0.0,7848000.0,,0.0,0.0,,1950000.0,,20.0,,9000000.0,0.0,1000000.0,,8000000.0,Single,High School,TP Hồ Chí Minh,Quận 8,TP Hồ Chí Minh
1158,16799443.0,2017-10-23,2018-10-26,12.0,FC TW 0% DP - 143,19200000.0,1056000.0,20256000.0,45.0,12.0,6.0,0.0,12840000.0,,0.0,0.0,0.0,2128000.0,F,29.0,,8000000.0,0.0,1000000.0,15000000.0,3000000.0,,,Tỉnh Yên Bái,Văn Chấn,Tỉnh Yên Bái
3819,16410854.0,,2018-10-26,,FC UP DSA TS SCORE 2 NEW- 762,40000000.0,2200000.0,42200000.0,,24.0,6.0,0.0,16256268.0,,0.0,0.0,0.0,2697378.0,M,53.0,,,0.0,13200000.0,,12000000.0,Married,High School,TP Hồ Chí Minh,Quận 6,TP Hồ Chí Minh
2792,16799945.0,2017-10-25,,12.0,FC CD FPT OCT OUT-1970,6390000.0,,6811740.0,0.01,6.0,,1.0,6884000.0,,1.0,1.0,1.0,1136000.0,,20.0,,7500000.0,0.0,,20000000.0,3500000.0,Single,High School,Tỉnh Đồng Nai,,Tỉnh Đồng Nai
2240,16825609.0,2017-10-23,2018-10-26,12.0,FC TW 0% DP - 143,38000000.0,2090000.0,40090000.0,45.0,18.0,12.0,1.0,37380000.0,,1.0,1.0,1.0,3103000.0,M,36.0,,10000000.0,0.0,,,4000000.0,Married,Basic School,Tỉnh Bình Dương,Tân Uyên,Tỉnh Bình Dương
4035,16965869.0,2017-10-31,2018-10-26,12.0,,3290000.0,,,65.0,12.0,13.0,1.0,5387000.0,,1.0,1.0,1.0,,M,42.0,,4000000.0,0.0,1000000.0,15000000.0,,Married,High School,Tỉnh Tiền Giang,Mỹ Tho,Tỉnh Tiền Giang
2662,16429159.0,2017-10-03,,12.0,FC UP L.G 1 TSA SCORE NEW- 616,30000000.0,1650000.0,,33.5,30.0,12.0,1.0,19003000.0,,1.0,,1.0,1571579.0,M,,,,0.0,24000000.0,20000000.0,5000000.0,Married,Middle School,Thành phố Hà Nội,Hoài Đức,Thành phố Hà Nội
4012,16584685.0,2017-10-13,2018-10-26,12.0,,10000000.0,550000.0,10550000.0,44.5,12.0,14.0,1.0,13218000.0,0.003333381590757689,0.0,0.0,1.0,1105184.0,,36.0,,5000000.0,0.0,10800000.0,10000000.0,5000000.0,Married,Working Cerfiticate,Tỉnh Vĩnh Long,Vĩnh Long,Tỉnh Vĩnh Long
2957,16782085.0,2017-10-20,2018-10-26,,FC CD MBW JULY OUT-1721,4683000.0,309078.0,4992078.0,0.01,6.0,6.0,1.0,5070000.0,,1.0,1.0,1.0,833000.0,F,21.0,,6500000.0,0.0,1000000.0,50000000.0,7000000.0,Single,College,Tỉnh Quảng Ngãi,Quảng Ngãi,Tỉnh Quảng Ngãi
3927,16869596.0,2017-10-29,2018-10-26,12.0,FC UP L.G 2 TSA SCORE NEW- 617,20000000.0,1100000.0,21100000.0,44.5,,11.0,0.0,18039000.0,,0.0,0.0,0.0,1627488.0,M,28.0,,7000000.0,0.0,9600000.0,11000000.0,5000000.0,Married,High School,Tỉnh Thái Bình,Vũ Thư,Tỉnh Thái Bình
1038,16475801.0,2017-10-06,2018-10-26,12.0,FC CD NK OCT IN-1925,5192000.0,342672.0,5534672.0,0.01,6.0,6.0,,5607000.0,,1.0,1.0,1.0,923000.0,M,38.0,2.0,7000000.0,0.0,800000.0,15000000.0,2000000.0,Married,High School,TP Hồ Chí Minh,Thủ Đức,TP Hồ Chí Minh
3259,16791682.0,2017-10-24,2018-10-26,12.0,FC UP DSA TS SCORE 2 NEW- 762,20000000.0,1100000.0,21100000.0,45.0,24.0,,0.0,13490000.0,,0.0,0.0,0.0,1348689.0,M,59.0,,6000000.0,,,27000000.0,,,Middle School,Tỉnh Tây Ninh,Gò Dầu,Tỉnh Tây Ninh
1344,16388064.0,2017-10-03,2018-10-26,12.0,FC UP DSA TS SCORE 2 NEW- 762,10000000.0,550000.0,10550000.0,45.0,12.0,4.0,0.0,4479520.0,,0.0,0.0,0.0,1107880.0,M,46.0,,6000000.0,,10800000.0,50000000.0,12500000.0,Married,College,Tỉnh Vĩnh Long,Long Hồ,Tỉnh Vĩnh Long
2505,16642138.0,2017-10-18,2018-10-26,12.0,FC UP EVN VIP NEW- 622,50000000.0,2750000.0,,37.0,24.0,12.0,1.0,37859778.0,,1.0,1.0,1.0,3142778.0,,48.0,,3000000.0,0.0,12000000.0,,10000000.0,Married,High School,Tỉnh Đồng Nai,Thống Nhất,Tỉnh Đồng Nai
1721,,2017-10-17,2018-10-26,12.0,FC CD KEY DEALERS 2 NEW- 1801,7990000.0,399500.0,8389500.0,35.0,,9.0,1.0,9774000.0,,1.0,,1.0,1074000.0,M,21.0,1.0,,,2000000.0,20000000.0,5000000.0,Married,High School,Tỉnh Kiên Giang,Rạch Giá,Tỉnh Kiên Giang
4663,16629384.0,2017-10-17,2018-10-26,12.0,FC UP L.G 1 TSA SCORE NEW- 616,20000000.0,1100000.0,,33.5,24.0,,1.0,14760214.0,,1.0,1.0,,,,32.0,,6000000.0,0.0,9600000.0,30000000.0,6000000.0,Single,High School,Tỉnh Đồng Nai,Định Quán,Tỉnh Đồng Nai
175,16943612.0,2017-10-29,2018-10-26,12.0,,25000000.0,1375000.0,26375000.0,44.5,24.0,11.0,0.0,18610000.0,,0.0,0.0,0.0,1678585.0,M,24.0,,10000000.0,0.0,18000000.0,20000000.0,,Single,College,Tỉnh Thanh Hóa,Tĩnh Gia,Tỉnh Thanh Hóa
4893,,2017-10-10,2018-10-26,12.0,FC CD DMX SEP IN-1899,9750000.0,,,0.01,6.0,6.0,1.0,10470000.0,,1.0,1.0,1.0,,,,1.0,10000000.0,,1000000.0,30000000.0,10000000.0,Married,Bachelor,TP Hồ Chí Minh,Bình Chánh,TP Hồ Chí Minh
1909,16429033.0,,2018-10-26,12.0,FC UP L.G 2 TSA SCORE NEW- 617,,1650000.0,31650000.0,44.5,24.0,3.0,0.0,6080000.0,,0.0,0.0,0.0,2014302.0,M,28.0,,6000000.0,0.0,24000000.0,24000000.0,4500000.0,Married,,,Mỹ Hào,Tỉnh Hưng Yên
45,,2017-10-13,2018-10-26,12.0,FC UP DSA TS SCORE 2 NEW- 762,30000000.0,,31650000.0,45.0,18.0,12.0,1.0,,,1.0,1.0,1.0,2449603.0,M,32.0,,8000000.0,0.0,12000000.0,38000000.0,2000000.0,Single,High School,Tỉnh Khánh Hòa,Ninh Hòa,Tỉnh Khánh Hòa
3409,16586170.0,2017-10-11,2018-10-26,12.0,FC CD MBW OCT OUT-1916,4495000.0,296670.0,4791670.0,0.01,,9.0,1.0,4905000.0,,1.0,1.0,1.0,533000.0,F,29.0,2.0,,,1000000.0,16000000.0,2000000.0,Married,High School,Tỉnh Đăk Nông,Đăk R Lấp,Tỉnh Đăk Nông
4674,16431889.0,2017-10-05,2018-10-26,12.0,FC TW ATTRACTIVE NEW - 151,31780000.0,1589000.0,33369000.0,45.0,24.0,2.0,0.0,4278000.0,,0.0,0.0,0.0,,F,28.0,,9000000.0,0.0,1000000.0,20000000.0,3000000.0,Divorced,Middle School,Tỉnh Bến Tre,Ba Tri,Tỉnh Bến Tre
1075,16493088.0,2017-10-06,2018-10-26,12.0,FC CD PORT LP NEW-1848,4300000.0,215000.0,4515000.0,65.0,10.0,10.0,1.0,6072909.0,,1.0,1.0,1.0,597000.0,,25.0,,10000000.0,0.0,3000000.0,25000000.0,5500000.0,Married,Middle School,Tỉnh Trà Vinh,Trà Cú,Tỉnh Trà Vinh
2829,16697254.0,2017-10-17,2018-10-26,12.0,FC CD OPPO JULY OUT-1790,4893000.0,322938.0,5215938.0,0.01,6.0,6.0,,5288090.0,,1.0,1.0,1.0,870000.0,M,39.0,2.0,12000000.0,0.0,1500000.0,18000000.0,5000000.0,Married,Working Cerfiticate,Tỉnh Bình Dương,Dĩ An,Tỉnh Bình Dương
1504,16809268.0,,2018-10-26,,FC UP DSA TS SCORE 1 NEW- 761,15000000.0,825000.0,15825000.0,,18.0,11.0,0.0,12705000.0,,,0.0,0.0,1142524.0,F,26.0,,6000000.0,0.0,,13000000.0,3000000.0,Married,Middle School,,Châu Thành,Tỉnh Tây Ninh
