APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT
16667927,2017-10-20,2018-10-26,12,FC UP SUR BIKE PLUS NEW- 618,20000000,1100000,21100000,47.0,24,4.0,0.0,5540000.0,0.0,0.0,0,1372100,F,43,0,8000000,0,12000000,18000000,5000000,Married,Middle School,Tỉnh Bình Phước,Hớn Quản,Tỉnh Bình Phước
16612896,2017-10-14,2018-10-26,12,FC UP DSA TS SCORE 3- 541,25000000,0,25000000,59.99,24,12.0,1.0,21873130.0,1.0,1.0,1,1811626,F,27,0,8000000,0,18000000,25000000,7000000,Married,Master Degree,Thành phố Hà Nội,Bắc Từ Liêm,Thành phố Hà Nội
16478634,2017-10-11,2018-10-26,12,FC UP CAT B NEW- 610,10000000,550000,10550000,47.0,12,12.0,1.0,13508182.0,1.0,1.0,1,1118697,F,31,0,5000000,0,7200000,40000000,5000000,Married,Master Degree,Tỉnh Vĩnh Long,Bình Minh,Tỉnh Vĩnh Long
16782005,2017-10-25,2018-10-26,12,FC UP DSA TS SCORE 3- 541,10000000,550000,10550000,59.99,12,12.0,1.0,13931000.0,0.0,0.0,1,1190252,F,21,0,6000000,0,9600000,15000000,3000000,Married,Middle School,Tỉnh Bình Dương,Thủ Dầu Một,Tỉnh Bình Dương
16938592,2017-10-29,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,10000000,550000,10550000,45.0,12,10.0,0.0,11199000.0,0.0,0.0,0,1107880,F,20,0,7000000,0,18000000,30000000,4000000,Single,High School,Tỉnh Thừa Thiên - Huế,Phú Vang,Tỉnh Thừa Thiên - Huế
16766181,2017-10-25,2018-10-26,12,FC UP CAT B NEW- 610,20000000,1100000,21100000,47.0,24,12.0,1.0,16619000.0,1.0,1.0,1,1372100,F,21,0,5147000,0,7200000,20000000,5000000,Single,Middle School,Tỉnh Đồng Nai,Xuân Lộc,Tỉnh Đồng Nai
16409396,2017-10-10,2018-10-26,12,FC UP SUR BIKE PLUS VNP- 547,20000000,1100000,21100000,45.0,24,12.0,1.0,16320000.0,1.0,1.0,1,1348689,F,33,0,4300000,0,6000000,18000000,2000000,Married,Middle School,Tỉnh Long An,Cần Đước,Tỉnh Long An
16073505,2017-10-18,2018-10-26,12,FC UP SUR CF PLUS - 555,26000000,1430000,27430000,60.0,24,12.0,1.0,22035000.0,0.0,0.0,0,1987877,M,40,0,15000000,0,18000000,30000000,6000000,Married,High School,TP Hồ Chí Minh,Bình Chánh,TP Hồ Chí Minh
16663930,2017-10-18,2018-10-26,12,FC UP L.G 1 TSA SCORE NEW- 616,20000000,1100000,21100000,33.5,12,10.0,0.0,21056000.0,0.0,0.0,0,2093474,M,26,0,9000000,0,30000000,9000000,2500000,Single,College,Tỉnh Bắc Ninh,Quế Võ,Tỉnh Bắc Ninh
16738379,2017-10-22,2018-10-26,12,FC UP DSA TS SCORE 3- 541,20000000,1100000,21100000,59.99,24,12.0,1.0,18504000.0,1.0,1.0,1,1529012,M,37,0,8000000,0,12000000,13000000,4000000,Married,Middle School,Tỉnh Tiền Giang,Mỹ Tho,Tỉnh Tiền Giang
16844901,2017-10-28,2018-10-26,12,FC UP DSA TS SCORE 2 NEW- 762,25000000,1375000,26375000,45.0,24,11.0,0.0,18678000.0,0.0,0.0,0,1685861,F,40,0,9000000,0,12000000,20000000,4000000,Married,Basic School,Tỉnh Hậu Giang,Châu Thành,Tỉnh Hậu Giang
16486046,2017-10-06,2018-10-26,12,FC UP DSA TS SCORE 1 NEW- 761,30000000,1650000,31650000,35.0,30,13.0,1.0,19701554.0,1.0,1.0,1,1597414,F,55,0,6000000,0,12000000,22000000,2000000,Married,High School,Tỉnh Tiền Giang,Chợ Gạo,Tỉnh Tiền Giang
16735005,2017-10-22,2018-10-26,12,FC UP DSA TS SCORE 3- 541,20000000,1100000,21100000,59.99,24,11.0,0.0,16959036.0,0.0,0.0,0,1529012,F,39,0,5000000,0,18000000,25000000,6000000,Married,Basic School,Tỉnh Vĩnh Long,Tam Bình,Tỉnh Vĩnh Long
