APP_ID,DISBURSALDATE,REPORT_DATE,TERM_TMP,PRODUCT_NAME,LOANAMOUNT_NOT_INSURANCE,INSURANCE_FEE,LA,EFF_RATE,TERM,COUNT_TERM_RECEIPT,flag term,SUM_RECEIPT_AMT,flag loan amt,flag final,RESULT_YES/NO,EMI,GENDER,AGE,Number of Children,PERSONAL_INCOME,ADDITIONAL_INCOME,PERSONAL_EXPENSE,FAMILY_INCOME,FAMILY_EXPENSE,MARITAL_STATUS,EDUCATION,City,ADDRESS_CURRENT_CITY,PROVINCE_CURRENT,kmeans_labels,REPAYMENT_RATE,REMAINING_TERM,EXPENSE_INCOME_RATIO,INCOME,AGE_TERM_RATIO,INSURANCE_LOAN_RATIO
16838344,2017-10-24,2018-10-26,12,FC CD MBW JULY OUT-1721,5593000,369138,5962138,0.01,6,6.0,1.0,6036000.0,1.0,1.0,1,994000,M,27,0.0,6000000,0,1000000,18000000,4000000,Single,Middle School,Tỉnh Kiên Giang,Gò Quao,Tỉnh Kiên Giang,1,1.0123885089543383,0.0,0.20833333333333334,19000000,4.5,0.066
16472195,2017-10-09,2018-10-26,12,FC CD NK OCT IN-1925,5672000,374352,6046352,0.01,6,6.0,1.0,6120000.0,1.0,1.0,1,1008000,M,38,1.0,20000000,0,800000,30000000,2000000,Married,High School,Tỉnh Bình Dương,Dĩ An,Tỉnh Bình Dương,1,1.012180567720834,0.0,0.056,47200000,6.333333333333333,0.066
16663383,2017-10-19,2018-10-26,12,FC CD DMX SEP OUT-1896,7990000,527340,8517340,0.01,6,6.0,1.0,8590000.0,1.0,1.0,1,1420000,F,56,0.0,50000000,0,5000000,70000000,30000000,Married,Basic School,Tỉnh An Giang,Chợ Mới,Tỉnh An Giang,0,1.0085308323960298,0.0,0.2916666666666667,85000000,9.333333333333334,0.066
16748645,2017-10-23,2018-10-26,12,FC CD OPPO JULY IN-1793,4893000,322938,5215938,0.01,6,6.0,1.0,5292000.0,1.0,1.0,1,870000,F,32,0.0,6000000,0,1000000,25000000,4000000,Married,Master Degree,Tỉnh Thừa Thiên - Huế,Nam Đông,Tỉnh Thừa Thiên - Huế,1,1.0145826119865688,0.0,0.16129032258064516,26000000,5.333333333333333,0.066
16395670,2017-10-06,2018-10-26,12,FC CD OPPO 10 KD OCT OUT-1943,4221000,0,4221000,17.7,10,10.0,1.0,4691000.0,1.0,1.0,1,458000,F,32,0.0,8000000,0,1000000,18000000,4000000,Married,High School,Tỉnh Lâm Đồng,Bảo Lộc,Tỉnh Lâm Đồng,1,1.111348021795783,0.0,0.19230769230769232,21000000,3.2,0.0
16694043,2017-10-16,2018-10-26,12,FC CD NP DMX ECONOMY - 857,2000000,100000,2100000,45.0,6,4.0,0.0,2460000.0,1.0,0.0,1,398000,F,32,0.0,6000000,0,1000000,20000000,4000000,Other,High School,Tỉnh Bình Thuận,Bắc Bình,Tỉnh Bình Thuận,1,1.1714285714285715,2.0,0.19230769230769232,21000000,5.333333333333333,0.05
16682274,2017-10-16,2018-10-26,12,FC CD NON-PORTABLE LOW PRICE - 801,10000000,500000,10500000,65.0,12,8.0,0.0,9800000.0,0.0,0.0,0,1213000,M,27,0.0,8000000,0,1000000,40000000,7000000,Single,High School,Tỉnh Bình Thuận,La Gi,Tỉnh Bình Thuận,1,0.9333333333333333,4.0,0.16666666666666666,40000000,2.25,0.05
16454481,2017-10-06,2018-10-26,12,FC CD PORT LP NEW-1848,2060000,103000,2163000,65.0,6,5.0,0.0,2652000.0,1.0,0.0,1,432000,M,41,0.0,7000000,0,1000000,32000000,5000000,Married,High School,Tỉnh Bạc Liêu,Hồng Dân,Tỉnh Bạc Liêu,1,1.2260748959778085,1.0,0.15384615384615385,33000000,6.833333333333333,0.05
16618160,2017-10-16,2018-10-26,12,FC CD VTA JULY OUT-1691,2793000,0,2793000,0.01,4,3.0,0.0,2832000.0,1.0,0.0,1,699000,M,44,0.0,10000000,0,2000000,25000000,10000000,Married,College,Tỉnh Sơn La,Sơn La,Tỉnh Sơn La,1,1.0139634801288937,1.0,0.34285714285714286,23000000,11.0,0.0
16822207,2017-10-24,2018-10-26,12,FC CD KEY DEALERS 1 - 811,7190000,359500,7549500,45.0,12,13.0,1.0,9785000.0,1.0,1.0,1,793000,F,20,0.0,6000000,0,1000000,20000000,5000000,Single,High School,Tỉnh Bà Rịa - Vũng Tàu,Tân Thành,Tỉnh Bà Rịa - Vũng Tàu,1,1.2961123253195577,-1.0,0.23076923076923078,20000000,1.6666666666666667,0.05
